City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,puerto penasco,31.3167,-113.5333,25.51,67,0,4.02,MX,1684705548
297,liwale,-9.7667,37.9333,20.65,96,91,0.67,TZ,1684705548
298,escanaba,45.7453,-87.0646,19.42,52,28,5.0,US,1684705549
299,kurnool,15.8309,78.0425,29.8,55,50,4.9,IN,1684705549
300,sirjan,29.452,55.6814,17.89,53,75,1.63,IR,1684705550
301,tiksi,71.6872,128.8694,-10.88,90,37,2.01,RU,1684705550
302,karangampel,-6.4622,108.4519,25.0,77,3,2.14,ID,1684705550
303,callao,-12.0667,-77.15,24.29,68,100,4.63,PE,1684705484
304,at taj,24.2049,23.2857,26.92,15,46,4.62,LY,1684705551
305,zuni pueblo,35.0725,-108.8506,13.35,21,89,4.51,US,1684705552
306,west monroe,32.5185,-92.1476,23.0,63,0,5.14,US,1684705552
307,newman,37.3138,-121.0208,32.38,41,5,2.68,US,1684705552
308,tual,-5.6667,132.75,27.07,82,100,10.41,ID,1684705553
309,hithadhoo,-0.6,73.0833,27.97,75,4,1.03,MV,1684705553
310,sungai raya,0.7,108.9,26.0,89,77,2.99,ID,1684705554
311,wanning,18.8003,110.3967,26.98,94,6,5.15,CN,1684705509
312,santa ana,33.7456,-117.8678,31.94,67,75,4.12,US,1684705347
313,lata,40.1629,-8.3327,11.62,76,82,0.52,PT,1684705555
314,tamanrasset,22.785,5.5228,25.13,17,82,3.37,DZ,1684705555
315,palikir - national government center,6.9248,158.1611,27.47,89,100,1.54,FM,1684705556
316,ambazac,45.9598,1.4006,14.18,97,100,1.15,FR,1684705556
317,sainyabuli,19.25,101.75,22.55,89,6,0.47,LA,1684705556
318,acarau,-2.8856,-40.12,26.14,87,74,4.49,BR,1684705557
319,gaspe,48.8334,-64.4819,15.95,82,40,4.12,CA,1684705373
320,chake chake,-5.2459,39.7666,24.34,90,10,2.95,TZ,1684705558
321,saudarkrokur,65.7461,-19.6394,4.11,68,100,7.6,IS,1684705426
322,ikungi,-5.1333,34.7667,16.44,80,3,3.94,TZ,1684705559
323,kochenevo,55.0218,82.202,5.66,61,54,3.04,RU,1684705559
324,muynoq,43.7683,59.0214,19.47,56,82,4.68,UZ,1684705559
325,catumbela,-12.4314,13.5472,23.81,81,100,0.86,AO,1684705560
326,haiku-pauwela,20.9219,-156.3051,29.01,48,40,7.72,US,1684705421
327,bodo,67.28,14.405,8.76,97,100,1.03,NO,1684705561
328,mount isa,-20.7333,139.5,12.87,41,0,3.6,AU,1684705561
329,motueka,-41.1333,173.0167,9.5,74,100,0.84,NZ,1684705562
330,kristiansund,63.1115,7.732,11.03,81,0,0.51,NO,1684705562
331,gao,16.6362,1.637,35.73,13,100,3.88,ML,1684705563
332,nekrasovka,48.3525,135.2325,9.01,87,20,5.0,RU,1684705563
333,new norfolk,-42.7826,147.0587,12.72,63,99,1.34,AU,1684705412
334,cabo san lucas,22.8909,-109.9124,35.17,29,0,5.14,MX,1684705326
335,harper,4.375,-7.7169,26.65,81,57,2.01,LR,1684705565
336,lagoa formosa,-18.7786,-46.4075,17.23,51,46,2.52,BR,1684705565
337,san fernando,15.0286,120.6898,28.85,85,97,0.6,PH,1684705567
338,union,40.6334,-74.2663,23.55,52,75,8.23,US,1684705518
339,diego de almagro,-26.3667,-70.05,19.28,30,100,2.55,CL,1684705568
340,marataizes,-21.0433,-40.8244,22.27,76,76,4.75,BR,1684705568
341,cimitarra,6.3142,-73.9497,25.5,96,100,1.3,CO,1684705569
342,namdrik,5.5994,168.1028,26.98,87,99,8.67,MH,1684705569
343,xinyang,32.1228,114.0656,12.54,89,99,4.82,CN,1684705570
344,eduardo castex,-35.915,-64.2945,15.7,82,98,4.96,AR,1684705570
345,luderitz,-26.6481,15.1594,14.39,59,12,4.98,NA,1684705571
346,serchhip,23.3,92.8333,16.33,98,13,1.18,IN,1684705572
347,kiffa,16.6166,-11.4045,35.17,11,100,2.33,MR,1684705572
348,dezhou,37.4486,116.2925,15.98,36,48,2.67,CN,1684705573
349,galveston,29.3669,-94.9669,27.27,76,40,3.09,US,1684705441
350,villa huidobro,-34.8383,-64.5869,16.65,77,97,5.65,AR,1684705574
351,fuglafjordur,62.244,-6.814,8.26,86,96,9.33,FO,1684705574
352,i-n-salah,27.1935,2.4607,27.94,12,0,4.9,DZ,1684705575
353,obidos,-1.9175,-55.5181,25.77,90,100,1.48,BR,1684705576
354,gambela,8.25,34.5833,24.69,67,87,1.02,ET,1684705576
355,boa vista,2.8197,-60.6733,27.99,78,40,1.54,BR,1684705578
356,kraksaan,-7.7585,113.3962,23.92,75,46,2.57,ID,1684705579
357,egilsstadir,65.2653,-14.3948,8.95,61,75,8.23,IS,1684705579
358,treinta y tres,-33.2333,-54.3833,16.72,98,100,2.5,UY,1684705580
359,pandan,14.0453,124.1694,26.87,82,8,2.22,PH,1684705580
360,conception bay south,47.4999,-52.9981,12.53,74,95,9.28,CA,1684705581
361,howrah,22.5892,88.3103,27.0,78,40,3.6,IN,1684705581
362,alofi,-19.0595,-169.9187,25.94,83,100,5.14,NU,1684705582
363,longyearbyen,78.2186,15.6401,4.91,70,75,4.12,SJ,1684705286
364,aykhal,66.0,111.5,-3.9,86,85,1.45,RU,1684705583
365,laojunmiao,39.8333,97.7333,9.89,43,0,1.12,CN,1684705584
366,sillamae,59.3997,27.7547,9.9,66,26,1.78,EE,1684705584
367,wellington,-41.2866,174.7756,14.2,89,20,3.09,NZ,1684705585
368,burela de cabo,43.65,-7.4,15.1,93,91,5.39,ES,1684705585
369,catacocha,-4.0667,-79.6333,19.16,90,68,2.15,EC,1684705586
370,boguchany,58.3814,97.4531,9.83,91,93,1.91,RU,1684705586
371,plouzane,48.3833,-4.6167,13.03,85,0,3.6,FR,1684705587
372,wamba,8.9333,8.6,24.65,86,100,1.71,NG,1684705588
373,miringa,10.7312,12.1463,25.1,67,100,2.1,NG,1684705588
374,mili,6.0815,171.735,28.7,82,100,7.53,MH,1684705426
375,ostersund,63.1792,14.6357,12.25,35,0,3.09,SE,1684705589
376,codrington,-38.2667,141.9667,7.69,93,100,3.45,AU,1684705590
377,ebeltoft,56.1944,10.6821,15.01,72,75,0.51,DK,1684705591
378,la'ie,21.6477,-157.9253,29.98,72,75,6.08,US,1684705591
379,meadow lakes,61.6247,-149.6011,13.47,54,0,1.54,US,1684705440
380,tazovsky,67.4667,78.7,1.01,89,62,4.8,RU,1684705593
381,pointe aux piments,-20.0628,57.5131,22.51,82,30,1.07,MU,1684705593
382,aleg,17.0481,-13.9209,32.88,12,97,5.15,MR,1684705594
383,domoni,-12.2569,44.5319,25.59,87,35,2.2,KM,1684705595
384,yanta,36.2411,115.6672,13.66,72,61,3.08,CN,1684705595
385,korla,41.7597,86.1469,18.28,39,7,2.59,CN,1684705596
386,santanyi,39.3546,3.1291,17.68,88,48,5.75,ES,1684705596
387,las tablas,7.7667,-80.2833,25.65,99,100,2.38,PA,1684705425
388,inhambane,-23.865,35.3833,21.19,86,2,3.81,MZ,1684705597
389,piti village,13.4626,144.6933,28.49,84,0,3.09,GU,1684705598
390,pelabuhanratu,-6.9875,106.5514,24.68,91,8,2.06,ID,1684705598
391,talcahuano,-36.7167,-73.1167,12.82,100,75,5.14,CL,1684705599
392,ayorou,14.7308,0.9174,37.71,17,100,2.45,NE,1684705599
393,puerto baquerizo moreno,-0.9,-89.6,27.55,74,75,5.14,EC,1684705409
394,uberaba,-19.7483,-47.9319,23.32,40,73,2.06,BR,1684705600
395,porto novo,6.4965,2.6036,27.9,79,100,3.86,BJ,1684705600
